"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
"ending April 20, 2019; 2019 Week 17 ending April 27, 2019; 2019 Week 18 ending May 04, 2019; 2019 Week 19 ending May 11, 2019;"
"2019 Week 20 ending May 18, 2019; 2019 Week 21 ending May 25, 2019; 2019 Week 22 ending June 01, 2019; 2019 Week 23 ending June"
"08, 2019; 2019 Week 24 ending June 15, 2019; 2019 Week 25 ending June 22, 2019; 2019 Week 26 ending June 29, 2019; 2019 Week 27"
"ending July 06, 2019; 2019 Week 28 ending July 13, 2019; 2019 Week 29 ending July 20, 2019; 2019 Week 30 ending July 27, 2019;"
"2019 Week 31 ending August 03, 2019; 2019 Week 32 ending August 10, 2019; 2019 Week 33 ending August 17, 2019; 2019 Week 34"
"ending August 24, 2019; 2019 Week 35 ending August 31, 2019; 2019 Week 36 ending September 07, 2019; 2019 Week 37 ending"
"September 14, 2019; 2019 Week 38 ending September 21, 2019; 2019 Week 39 ending September 28, 2019; 2019 Week 40 ending October"
"05, 2019; 2019 Week 41 ending October 12, 2019; 2019 Week 42 ending October 19, 2019; 2019 Week 43 ending October 26, 2019; 2019"
"Week 44 ending November 02, 2019; 2019 Week 45 ending November 09, 2019; 2019 Week 46 ending November 16, 2019; 2019 Week 47"
"ending November 23, 2019; 2019 Week 48 ending November 30, 2019; 2019 Week 49 ending December 07, 2019; 2019 Week 50 ending"
"December 14, 2019; 2019 Week 51 ending December 21, 2019; 2019 Week 52 ending December 28, 2019; 2020 Week 01 ending January 04,"
"2020; 2020 Week 02 ending January 11, 2020; 2020 Week 03 ending January 18, 2020; 2020 Week 04 ending January 25, 2020; 2020"
"Week 05 ending February 01, 2020; 2020 Week 06 ending February 08, 2020; 2020 Week 07 ending February 15, 2020; 2020 Week 08"
"ending February 22, 2020; 2020 Week 09 ending February 29, 2020; 2020 Week 10 ending March 07, 2020; 2020 Week 11 ending March"
"14, 2020; 2020 Week 12 ending March 21, 2020; 2020 Week 13 ending March 28, 2020; 2020 Week 14 ending April 04, 2020; 2020 Week"
"15 ending April 11, 2020; 2020 Week 16 ending April 18, 2020; 2020 Week 17 ending April 25, 2020; 2020 Week 18 ending May 02,"
"2020; 2020 Week 19 ending May 09, 2020; 2020 Week 20 ending May 16, 2020; 2020 Week 21 ending May 23, 2020; 2020 Week 22 ending"
"May 30, 2020; 2020 Week 23 ending June 06, 2020; 2020 Week 24 ending June 13, 2020; 2020 Week 25 ending June 20, 2020; 2020 Week"
"26 ending June 27, 2020; 2020 Week 27 ending July 04, 2020; 2020 Week 28 ending July 11, 2020; 2020 Week 29 ending July 18,"
"2020; 2020 Week 30 ending July 25, 2020; 2020 Week 31 ending August 01, 2020; 2020 Week 32 ending August 08, 2020; 2020 Week 33"
"ending August 15, 2020; 2020 Week 34 ending August 22, 2020; 2020 Week 35 ending August 29, 2020; 2020 Week 36 ending September"
"05, 2020; 2020 Week 37 ending September 12, 2020; 2020 Week 38 ending September 19, 2020; 2020 Week 39 ending September 26,"
"2020; 2020 Week 40 ending October 03, 2020; 2020 Week 41 ending October 10, 2020; 2020 Week 42 ending October 17, 2020; 2020"
"Week 43 ending October 24, 2020; 2020 Week 44 ending October 31, 2020; 2020 Week 45 ending November 07, 2020; 2020 Week 46"
"ending November 14, 2020; 2020 Week 47 ending November 21, 2020; 2020 Week 48 ending November 28, 2020; 2020 Week 49 ending"
"December 05, 2020; 2020 Week 50 ending December 12, 2020; 2020 Week 51 ending December 19, 2020; 2020 Week 52 ending December"
"26, 2020; 2020 Week 53 ending January 02, 2021; 2021 Week 01 ending January 09, 2021 (provisional); 2021 Week 02 ending January"
"16, 2021 (provisional); 2021 Week 03 ending January 23, 2021 (provisional); 2021 Week 04 ending January 30, 2021 (provisional);"
"2021 Week 05 ending February 06, 2021 (provisional); 2021 Week 06 ending February 13, 2021 (provisional); 2021 Week 07 ending"
"February 20, 2021 (provisional); 2021 Week 08 ending February 27, 2021 (provisional); 2021 Week 09 ending March 06, 2021"
"(provisional); 2021 Week 10 ending March 13, 2021 (provisional); 2021 Week 11 ending March 20, 2021 (provisional); 2021 Week 12"
"ending March 27, 2021 (provisional); 2021 Week 13 ending April 03, 2021 (provisional); 2021 Week 14 ending April 10, 2021"
"(provisional); 2021 Week 15 ending April 17, 2021 (provisional); 2021 Week 16 ending April 24, 2021 (provisional); 2021 Week 17"
"ending May 01, 2021 (provisional); 2021 Week 18 ending May 08, 2021 (provisional); 2021 Week 19 ending May 15, 2021"
"(provisional); 2021 Week 20 ending May 22, 2021 (provisional); 2021 Week 21 ending May 29, 2021 (provisional); 2021 Week 22"
"ending June 05, 2021 (provisional); 2021 Week 23 ending June 12, 2021 (provisional); 2021 Week 24 ending June 19, 2021"
"(provisional); 2021 Week 25 ending June 26, 2021 (provisional); 2021 Week 26 ending July 03, 2021 (provisional); 2021 Week 27"
"ending July 10, 2021 (provisional); 2021 Week 28 ending July 17, 2021 (provisional); 2021 Week 29 ending July 24, 2021"
"(provisional); 2021 Week 30 ending July 31, 2021 (provisional); 2021 Week 31 ending August 07, 2021 (provisional); 2021 Week 32"
"ending August 14, 2021 (provisional); 2021 Week 33 ending August 21, 2021 (provisional); 2021 Week 34 ending August 28, 2021"
"(provisional); 2021 Week 35 ending September 04, 2021 (provisional); 2021 Week 36 ending September 11, 2021 (provisional); 2021"
"Week 37 ending September 18, 2021 (provisional); 2021 Week 38 ending September 25, 2021 (provisional); 2021 Week 39 ending"
"October 02, 2021 (provisional); 2021 Week 40 ending October 09, 2021 (provisional); 2021 Week 41 ending October 16, 2021"
"(provisional); 2021 Week 42 ending October 23, 2021 (provisional); 2021 Week 43 ending October 30, 2021 (provisional); 2021 Week"
"44 ending November 06, 2021 (provisional); 2021 Week 45 ending November 13, 2021 (provisional); 2021 Week 46 ending November 20,"
"2021 (provisional); 2021 Week 47 ending November 27, 2021 (provisional); 2021 Week 48 ending December 04, 2021 (provisional);"
"2021 Week 49 ending December 11, 2021 (provisional); 2021 Week 50 ending December 18, 2021 (provisional); 2021 Week 51 ending"
"December 25, 2021 (provisional); 2021 Week 52 ending January 01, 2022 (provisional); 2022 Week 01 ending January 08, 2022"
"(provisional); 2022 Week 02 ending January 15, 2022 (provisional); 2022 Week 03 ending January 22, 2022 (provisional); 2022 Week"
"04 ending January 29, 2022 (provisional); 2022 Week 05 ending February 05, 2022 (provisional); 2022 Week 06 ending February 12,"
"2022 (provisional); 2022 Week 07 ending February 19, 2022 (provisional); 2022 Week 08 ending February 26, 2022 (provisional);"
"2022 Week 09 ending March 05, 2022 (provisional); 2022 Week 10 ending March 12, 2022 (provisional); 2022 Week 11 ending March"
"19, 2022 (provisional); 2022 Week 12 ending March 26, 2022 (provisional); 2022 Week 13 ending April 02, 2022 (provisional); 2022"
"Week 14 ending April 09, 2022 (provisional); 2022 Week 15 ending April 16, 2022 (provisional); 2022 Week 16 ending April 23,"
"2022 (provisional); 2022 Week 17 ending April 30, 2022 (provisional); 2022 Week 18 ending May 07, 2022 (provisional); 2022 Week"
"19 ending May 14, 2022 (provisional); 2022 Week 20 ending May 21, 2022 (provisional); 2022 Week 21 ending May 28, 2022"
"(provisional); 2022 Week 22 ending June 04, 2022 (provisional); 2022 Week 23 ending June 11, 2022 (provisional); 2022 Week 24"
"ending June 18, 2022 (provisional); 2022 Week 25 ending June 25, 2022 (provisional); 2022 Week 26 ending July 02, 2022"
"(provisional); 2022 Week 27 ending July 09, 2022 (provisional); 2022 Week 28 ending July 16, 2022 (provisional); 2022 Week 29"
"ending July 23, 2022 (provisional); 2022 Week 30 ending July 30, 2022 (provisional); 2022 Week 31 ending August 06, 2022"
"(provisional); 2022 Week 32 ending August 13, 2022 (provisional); 2022 Week 33 ending August 20, 2022 (provisional); 2022 Week"
"34 ending August 27, 2022 (provisional); 2022 Week 35 ending September 03, 2022 (provisional); 2022 Week 36 ending September 10,"
"2022 (provisional); 2022 Week 37 ending September 17, 2022 (provisional); 2022 Week 38 ending September 24, 2022 (provisional);"
"2022 Week 39 ending October 01, 2022 (provisional); 2022 Week 40 ending October 08, 2022 (provisional); 2022 Week 41 ending"
"October 15, 2022 (provisional); 2022 Week 42 ending October 22, 2022 (provisional); 2022 Week 43 ending October 29, 2022"
"(provisional); 2022 Week 44 ending November 05, 2022 (provisional); 2022 Week 45 ending November 12, 2022 (provisional); 2022"
"Week 46 ending November 19, 2022 (provisional)"
"UCD - ICD-10 Codes: U07.1 (COVID-19)"
"Group By: MMWR Week"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Dec 9, 2022 11:05:00 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2020,"
"and from provisional data for years 2021-2022, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Dec 9, 2022 11:05:00"
"PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"4. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"5. Deaths occurring through November 19, 2022 as of December 04, 2022."
