"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2019 Week 14 ending April 06, 2019"	"2019/14"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 15 ending April 13, 2019"	"2019/15"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 16 ending April 20, 2019"	"2019/16"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 17 ending April 27, 2019"	"2019/17"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 18 ending May 04, 2019"	"2019/18"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 19 ending May 11, 2019"	"2019/19"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 20 ending May 18, 2019"	"2019/20"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 21 ending May 25, 2019"	"2019/21"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 22 ending June 01, 2019"	"2019/22"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 23 ending June 08, 2019"	"2019/23"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 24 ending June 15, 2019"	"2019/24"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 25 ending June 22, 2019"	"2019/25"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 26 ending June 29, 2019"	"2019/26"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 27 ending July 06, 2019"	"2019/27"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 28 ending July 13, 2019"	"2019/28"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 29 ending July 20, 2019"	"2019/29"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 30 ending July 27, 2019"	"2019/30"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 31 ending August 03, 2019"	"2019/31"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 32 ending August 10, 2019"	"2019/32"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 33 ending August 17, 2019"	"2019/33"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 34 ending August 24, 2019"	"2019/34"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 35 ending August 31, 2019"	"2019/35"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 36 ending September 07, 2019"	"2019/36"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 37 ending September 14, 2019"	"2019/37"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 38 ending September 21, 2019"	"2019/38"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 39 ending September 28, 2019"	"2019/39"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 40 ending October 05, 2019"	"2019/40"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 41 ending October 12, 2019"	"2019/41"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 42 ending October 19, 2019"	"2019/42"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 43 ending October 26, 2019"	"2019/43"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 44 ending November 02, 2019"	"2019/44"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 45 ending November 09, 2019"	"2019/45"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 46 ending November 16, 2019"	"2019/46"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 47 ending November 23, 2019"	"2019/47"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 48 ending November 30, 2019"	"2019/48"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 49 ending December 07, 2019"	"2019/49"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 50 ending December 14, 2019"	"2019/50"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 51 ending December 21, 2019"	"2019/51"	Suppressed	Not Applicable	Not Applicable
	"2019 Week 52 ending December 28, 2019"	"2019/52"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 01 ending January 04, 2020"	"2020/01"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 02 ending January 11, 2020"	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 03 ending January 18, 2020"	"2020/03"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 04 ending January 25, 2020"	"2020/04"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 05 ending February 01, 2020"	"2020/05"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 06 ending February 08, 2020"	"2020/06"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 07 ending February 15, 2020"	"2020/07"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 08 ending February 22, 2020"	"2020/08"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 09 ending February 29, 2020"	"2020/09"	Suppressed	Not Applicable	Not Applicable
	"2020 Week 10 ending March 07, 2020"	"2020/10"	33	Not Applicable	Not Applicable
	"2020 Week 11 ending March 14, 2020"	"2020/11"	55	Not Applicable	Not Applicable
	"2020 Week 12 ending March 21, 2020"	"2020/12"	548	Not Applicable	Not Applicable
	"2020 Week 13 ending March 28, 2020"	"2020/13"	3019	Not Applicable	Not Applicable
	"2020 Week 14 ending April 04, 2020"	"2020/14"	9602	Not Applicable	Not Applicable
	"2020 Week 15 ending April 11, 2020"	"2020/15"	15460	Not Applicable	Not Applicable
	"2020 Week 16 ending April 18, 2020"	"2020/16"	16271	Not Applicable	Not Applicable
	"2020 Week 17 ending April 25, 2020"	"2020/17"	14620	Not Applicable	Not Applicable
	"2020 Week 18 ending May 02, 2020"	"2020/18"	12406	Not Applicable	Not Applicable
	"2020 Week 19 ending May 09, 2020"	"2020/19"	10436	Not Applicable	Not Applicable
	"2020 Week 20 ending May 16, 2020"	"2020/20"	8481	Not Applicable	Not Applicable
	"2020 Week 21 ending May 23, 2020"	"2020/21"	6573	Not Applicable	Not Applicable
	"2020 Week 22 ending May 30, 2020"	"2020/22"	5576	Not Applicable	Not Applicable
	"2020 Week 23 ending June 06, 2020"	"2020/23"	4502	Not Applicable	Not Applicable
	"2020 Week 24 ending June 13, 2020"	"2020/24"	3722	Not Applicable	Not Applicable
	"2020 Week 25 ending June 20, 2020"	"2020/25"	3336	Not Applicable	Not Applicable
	"2020 Week 26 ending June 27, 2020"	"2020/26"	3318	Not Applicable	Not Applicable
	"2020 Week 27 ending July 04, 2020"	"2020/27"	4028	Not Applicable	Not Applicable
	"2020 Week 28 ending July 11, 2020"	"2020/28"	5221	Not Applicable	Not Applicable
	"2020 Week 29 ending July 18, 2020"	"2020/29"	6501	Not Applicable	Not Applicable
	"2020 Week 30 ending July 25, 2020"	"2020/30"	7498	Not Applicable	Not Applicable
	"2020 Week 31 ending August 01, 2020"	"2020/31"	7588	Not Applicable	Not Applicable
	"2020 Week 32 ending August 08, 2020"	"2020/32"	7159	Not Applicable	Not Applicable
	"2020 Week 33 ending August 15, 2020"	"2020/33"	6538	Not Applicable	Not Applicable
	"2020 Week 34 ending August 22, 2020"	"2020/34"	5730	Not Applicable	Not Applicable
	"2020 Week 35 ending August 29, 2020"	"2020/35"	5132	Not Applicable	Not Applicable
	"2020 Week 36 ending September 05, 2020"	"2020/36"	4418	Not Applicable	Not Applicable
	"2020 Week 37 ending September 12, 2020"	"2020/37"	4067	Not Applicable	Not Applicable
	"2020 Week 38 ending September 19, 2020"	"2020/38"	3755	Not Applicable	Not Applicable
	"2020 Week 39 ending September 26, 2020"	"2020/39"	3782	Not Applicable	Not Applicable
	"2020 Week 40 ending October 03, 2020"	"2020/40"	3689	Not Applicable	Not Applicable
	"2020 Week 41 ending October 10, 2020"	"2020/41"	4266	Not Applicable	Not Applicable
	"2020 Week 42 ending October 17, 2020"	"2020/42"	4584	Not Applicable	Not Applicable
	"2020 Week 43 ending October 24, 2020"	"2020/43"	5318	Not Applicable	Not Applicable
