"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2019"	"2019"	"Oregon"	"41"	37370	4217737	886.020157255
	"2019"	"2019"	"Pennsylvania"	"42"	133983	12801989	1046.579558848
	"2019"	"2019"	"Rhode Island"	"44"	10256	1059361	968.130788277
	"2019"	"2019"	"South Carolina"	"45"	50962	5148714	989.800559907
	"2019"	"2019"	"South Dakota"	"46"	8270	884659	934.823474356
	"2019"	"2019"	"Tennessee"	"47"	71935	6829174	1053.348472304
	"2019"	"2019"	"Texas"	"48"	203362	28995881	701.347891447
	"2019"	"2019"	"Utah"	"49"	18736	3205958	584.411898097
	"2019"	"2019"	"Vermont"	"50"	5956	623989	954.504005680
	"2019"	"2019"	"Virginia"	"51"	70325	8535519	823.910063348
	"2019"	"2019"	"Washington"	"53"	58263	7614893	765.119089658
	"2019"	"2019"	"West Virginia"	"54"	23404	1792147	1305.919659492
	"2019"	"2019"	"Wisconsin"	"55"	54189	5822434	930.693246158
	"2019"	"2019"	"Wyoming"	"56"	5121	578759	884.824253273
	"2020"	"2020"	"Alabama"	"01"	64779	4921532	1316.236488963
	"2020"	"2020"	"Alaska"	"02"	5170	731158	707.097508336
	"2020"	"2020"	"Arizona"	"04"	75747	7421401	1020.656342381
	"2020"	"2020"	"Arkansas"	"05"	38108	3030522	1257.473134991
	"2020"	"2020"	"California"	"06"	319808	39368078	812.353602835
	"2020"	"2020"	"Colorado"	"08"	46918	5807719	807.855889722
	"2020"	"2020"	"Connecticut"	"09"	37853	3557006	1064.181505457
	"2020"	"2020"	"Delaware"	"10"	11072	986809	1122.000306037
	"2020"	"2020"	"District of Columbia"	"11"	6198	712816	869.509101928
	"2020"	"2020"	"Florida"	"12"	239685	21733312	1102.846174573
	"2020"	"2020"	"Georgia"	"13"	103075	10710017	962.416773008
	"2020"	"2020"	"Hawaii"	"15"	12033	1407006	855.220233602
	"2020"	"2020"	"Idaho"	"16"	16402	1826913	897.798636279
